0.50, 0.54, 0.60, 0.73, 0.83, 0.73, 0.86, 0.80, 0.92, 0.83, 0.57, 1.00, 1.00, -1.00, -1.00, 0.99
0.46, 0.50, 0.61, 0.43, 0.00, 0.77, 0.70, 0.29, 0.00, 0.64, 0.88, 1.00, -1.00, -1.00, 0.94, -1.00
0.40, 0.39, 0.50, 0.57, 0.67, 0.61, 0.60, 1.00, 1.00, 0.69, 0.65, -1.00, -1.00, 0.85, 1.00, -1.00
0.27, 0.57, 0.43, 0.50, 0.55, 0.50, 0.40, 0.44, 0.67, 1.00, -1.00, 0.68, 0.79, -1.00, -1.00, -1.00
0.17, 1.00, 0.33, 0.45, 0.50, 1.00, -1.00, 0.33, 0.33, 1.00, -1.00, 0.64, 0.82, -1.00, -1.00, -1.00
0.27, 0.23, 0.39, 0.50, 0.00, 0.50, 0.57, 0.00, -1.00, 0.67, 0.64, -1.00, -1.00, 0.88, -1.00, -1.00
0.14, 0.30, 0.40, 0.60, -1.00, 0.43, 0.50, 0.50, -1.00, 0.61, 0.00, -1.00, -1.00, 1.00, 0.67, -1.00
0.20, 0.71, 0.00, 0.56, 0.67, 1.00, 0.50, 0.50, 0.49, -1.00, 1.00, 0.00, 1.00, -1.00, -1.00, -1.00
0.08, 1.00, 0.00, 0.33, 0.67, -1.00, -1.00, 0.51, 0.50, -1.00, 0.00, -1.00, 1.00, -1.00, -1.00, 1.00
0.17, 0.36, 0.31, 0.00, 0.00, 0.33, 0.39, -1.00, -1.00, 0.50, 0.33, -1.00, -1.00, 1.00, 1.00, -1.00
0.43, 0.12, 0.35, -1.00, -1.00, 0.36, 1.00, 0.00, 1.00, 0.67, 0.50, -1.00, -1.00, 1.00, -1.00, -1.00 
0.00, 0.00, -1.00, 0.32, 0.36, -1.00, -1.00, 1.00, -1.00, -1.00, -1.00, 0.50, 0.67, -1.00, -1.00, -1.00 
0.00, -1.00, -1.00, 0.21, 0.18, -1.00, -1.00, 0.00, 0.00, -1.00, -1.00, 0.33, 0.50, -1.00, -1.00, -1.00
-1.00, -1.00, 0.15, -1.00, -1.00, 0.12, 0.00, -1.00, -1.00, 0.00, 0.00, -1.00, -1.00, 0.50, -1.00, -1.00
-1.00, 0.06, 0.00, -1.00, -1.00, -1.00, 0.33, -1.00, -1.00, 0.00, -1.00, -1.00, -1.00, -1.00, 0.50, -1.00 
0.01, -1.00, -1.00, -1.00, -1.00, -1.00, -1.00, -1.00, 0.00, -1.00, -1.00, -1.00, -1.00, -1.00, -1.00, 0.50
